date,region,category,sales,units,discount,is_holiday
2023-01-01,North,Electronics,1200.50,10,0.05,True
2023-01-02,South,Furniture,800.00,5,0.00,False
2023-01-03,East,Electronics,1500.75,12,0.10,False
2023-01-04,West,Clothing,450.25,20,0.20,False
2023-01-05,North,Furniture,950.00,8,0.00,False
2023-01-06,South,Clothing,300.50,15,0.15,False
2023-01-07,East,Electronics,2100.00,18,0.05,False
2023-01-08,West,Electronics,1100.25,9,0.00,False
2023-01-09,North,Clothing,550.00,25,0.25,False
2023-01-10,South,Furniture,1050.00,7,0.00,False
2023-01-11,East,Clothing,420.75,18,0.10,False
2023-01-12,West,Furniture,1250.50,10,0.05,False
2023-01-13,North,Electronics,980.00,8,0.00,False
2023-01-14,South,Electronics,1600.25,14,0.15,False
2023-01-15,East,Furniture,880.00,6,0.00,False
2023-01-16,West,Clothing,600.50,30,0.20,True
2023-01-17,North,Furniture,1120.75,9,0.05,False
2023-01-18,South,Clothing,350.00,16,0.10,False
2023-01-19,East,Electronics,1750.50,15,0.00,False
2023-01-20,West,Electronics,1300.00,11,0.05,False
